Address,Category,Date,ViolationID,Inspector,Neighborhood,PDF
305 E 31ST,Exterior,5/27/2025,2513985A,NORTHERN,ABELL,pdfs/2513985A.pdf
3145 ABELL,Interior/Exterior,7/25/2025,2542491A,NORTHERN,ABELL,pdfs/2542491A.pdf
3119 BARCLAY,Vacant,8/29/2018,1714000A,NORTHERN,ABELL,pdfs/1714000A.pdf
431 MERRYMAN,Exterior,10/9/2024,2429861A,NORTHERN,ABELL,pdfs/2429861A.pdf
3121 BARCLAY,Vacant,8/8/2024,2415959A,NORTHERN,ABELL,pdfs/2415959A.pdf
3128 GREENMOUNT,Exterior,2/16/2022,2080262A,NORTHERN,ABELL,pdfs/2080262A.pdf
403 E 31ST,Exterior,10/30/2025,2581992A,NORTHERN,ABELL,pdfs/2581992A.pdf
401 E 30TH,Exterior,11/26/2024,2460787A,NORTHERN,ABELL,pdfs/2460787A.pdf
3014 VINEYARD,Exterior,8/11/2021,2028574A,NORTHERN,ABELL,pdfs/2028574A.pdf
2934 GREENMOUNT,Vacant,1/7/2024,2336349A,NORTHERN,ABELL,pdfs/2336349A.pdf
3208 GREENMOUNT,Interior,4/26/2019,1783903A,CENTRAL,ABELL,pdfs/1783903A.pdf
3028 GREENMOUNT,Exterior,4/23/2025,2499133A,NORTHERN,ABELL,pdfs/2499133A.pdf
3113 BARCLAY,Vacant,1/17/2025,2472414A,NORTHERN,ABELL,pdfs/2472414A.pdf
3122 GREENMOUNT,Exterior,12/5/2021,2064114A,NORTHERN,ABELL,pdfs/2064114A.pdf
2901 GUILFORD,Vacant,12/30/2022,2194700A,NORTHERN,ABELL,pdfs/2194700A.pdf
3246 ABELL,Interior,2/20/2025,2480278A,,ABELL,pdfs/2480278A.pdf
419 E 31ST,Interior,7/12/2024,2408115A,,ABELL,pdfs/2408115A.pdf
3004 VINEYARD,Exterior,8/15/2023,2286563A,NORTHERN,ABELL,pdfs/2286563A.pdf
2900 GREENMOUNT,Exterior,7/15/2024,2409071A,NORTHERN,ABELL,pdfs/2409071A.pdf
3109 BARCLAY,Exterior,7/21/2024,2412564A,NORTHERN,ABELL,pdfs/2412564A.pdf
3012 VINEYARD,Exterior,1/30/2024,2343989A,NORTHERN,ABELL,pdfs/2343989A.pdf
3020 VINEYARD,Exterior,3/18/2024,2357306A,NORTHERN,ABELL,pdfs/2357306A.pdf
3122 GREENMOUNT,Exterior,8/24/2023,2292071A,NORTHERN,ABELL,pdfs/2292071A.pdf
2938 GREENMOUNT,Exterior,3/26/2025,2488165A,NORTHERN,ABELL,pdfs/2488165A.pdf
403 E 31ST,Exterior,3/17/2019,1771698A,NORTHERN,ABELL,pdfs/1771698A.pdf
3010 GREENMOUNT,Exterior,9/3/2021,2035529A,NORTHERN,ABELL,pdfs/2035529A.pdf
3035 BARCLAY,Exterior,8/15/2025,2552206A,NORTHERN,ABELL,pdfs/2552206A.pdf
333 E 31ST,Exterior,1/10/2020,1871558A,NORTHERN,ABELL,pdfs/1871558A.pdf
3124 GREENMOUNT,Exterior,4/2/2025,2491624A,NORTHERN,ABELL,pdfs/2491624A.pdf
3222 GREENMOUNT,Exterior,4/2/2025,2491645A,NORTHERN,ABELL,pdfs/2491645A.pdf
303 E 33RD,Exterior,5/22/2025,2507561A,NORTHERN,ABELL,pdfs/2507561A.pdf
2936 GREENMOUNT,Vacant,11/24/2023,2324935A,NORTHERN,ABELL,pdfs/2324935A.pdf
3014 VINEYARD,Exterior,12/10/2021,2065716A,NORTHERN,ABELL,pdfs/2065716A.pdf
3004 VINEYARD,Exterior,8/20/2025,2555822A,NORTHERN,ABELL,pdfs/2555822A.pdf
2946 GREENMOUNT,Interior/Exterior,3/26/2025,2488126A,NORTHERN,ABELL,pdfs/2488126A.pdf
420 MERRYMAN,Vacant,1/29/2024,2342686A,NORTHERN,ABELL,pdfs/2342686A.pdf
2958 GREENMOUNT,Vacant,11/26/2025,2592428A,NORTHERN,ABELL,pdfs/2592428A.pdf
3201 BARCLAY,Exterior,4/23/2021,1987938A,NORTHERN,ABELL,pdfs/1987938A.pdf
403 E 31ST,Exterior,10/5/2012,895239A,NORTHERN,ABELL,pdfs/895239A.pdf
416 E 30TH,Exterior,4/23/2025,2499162A,NORTHERN,ABELL,pdfs/2499162A.pdf
3118 GREENMOUNT,Exterior,4/2/2025,2491606A,NORTHERN,ABELL,pdfs/2491606A.pdf
3026 GREENMOUNT,Vacant,4/5/2021,1983069A,NORTHERN,ABELL,pdfs/1983069A.pdf
2920 GREENMOUNT,Exterior,3/21/2025,2487743A,NORTHERN,ABELL,pdfs/2487743A.pdf
3033 BARCLAY,Exterior,5/5/2025,2502888A,NORTHERN,ABELL,pdfs/2502888A.pdf
3019 BARCLAY,Exterior,5/9/2025,2507178A,NORTHERN,ABELL,pdfs/2507178A.pdf
