Facility Name,Phone,URL
Pointe Coupee Parish,,https://doc.la.gov/location/pointe-coupee-parish/
Rapides Parish,,https://doc.la.gov/location/rapides-parish/
Red River Parish,,https://doc.la.gov/location/red-river-parish/
Richland Parish,,https://doc.la.gov/location/richland-parish/
Sabine Parish,,https://doc.la.gov/location/sabine-parish/
St. Bernard Parish,,https://doc.la.gov/location/st-bernard-parish/
St. Charles Parish,,https://doc.la.gov/location/st-charles-parish/
St. Helena Parish,,https://doc.la.gov/location/st-helena-parish/
St. James Parish,,https://doc.la.gov/location/st-james-parish/
St. John the Baptist Parish,,https://doc.la.gov/location/st-john-the-baptist-parish/
St. Landry Parish,,https://doc.la.gov/location/st-landry-parish/
St. Martin Parish,,https://doc.la.gov/location/st-martin-parish/
St. Mary Parish,,https://doc.la.gov/location/st-mary-parish/
St. Tammany Parish,,https://doc.la.gov/location/st-tammany-parish/
Tangipahoa Parish,,https://doc.la.gov/location/tangipahoa-parish/
Tensas Parish,,https://doc.la.gov/location/tensas-parish/
Terrebone Parish,,https://doc.la.gov/location/terrebone-parish/
Union Parish,,https://doc.la.gov/location/union-parish/
Vermilion Parish,,https://doc.la.gov/location/vermillion-parish/
Vernon Parish,,https://doc.la.gov/location/vernon-parish/
Washington Parish,,https://doc.la.gov/location/washington-parish/
Webster Parish,,https://doc.la.gov/location/webster-parish/
West Baton Rouge Parish,,https://doc.la.gov/location/west-baton-rouge-parish/
West Carroll Parish,,https://doc.la.gov/location/west-carroll-parish/
West Feliciana Parish,,https://doc.la.gov/location/west-feliciana-parish/
Winn Parish,,https://doc.la.gov/location/winn-parish/
Alexandria,(318) 487-5301,https://doc.la.gov/location/alexandria/
Amite,(985) 748-2013,https://doc.la.gov/location/amite/
Baton Rouge,(225) 922-0227,https://doc.la.gov/location/baton-rouge/
Covington,(985) 871-8351,https://doc.la.gov/location/covington/
Donaldsonville,(225) 474-2020,https://doc.la.gov/location/donaldsonville/
East Jefferson,(504) 465-3490,https://doc.la.gov/location/east-jefferson/
Feliciana,(225) 683-5012,https://doc.la.gov/location/feliciana/
Jefferson,(504) 361-6730,https://doc.la.gov/location/jefferson/
Lafayette,(337) 262-5444,https://doc.la.gov/location/lafayette/
Lake Charles,(337) 491-2388,https://doc.la.gov/location/lake-charles/
Leesville,(337) 238-6427,https://doc.la.gov/location/leesville/
Minden,(318) 371-3020,https://doc.la.gov/location/minden/
Monroe,(318) 362-3171,https://doc.la.gov/location/monroe/
Natchitoches,(318) 332-8487,https://doc.la.gov/location/natchitoches/
New Iberia,(337) 373-0014,https://doc.la.gov/location/new-iberia/
New Orleans,(504) 962-4400,https://doc.la.gov/location/new-orleans/
Shreveport,(318) 676-7040,https://doc.la.gov/location/shreveport/
Tallulah,(318) 574-4201,https://doc.la.gov/location/tallulah/
Thibodaux,(985) 447-0935,https://doc.la.gov/location/thibodaux/
Ville Platte,(337) 363-6679,https://doc.la.gov/location/ville-platte/
West Baton Rouge,(225) 342-2770,https://doc.la.gov/location/west-baton-rouge/
Avoyelles Women’s Correctional Center DC-3,(318) 717-5190,https://doc.la.gov/location/avoyelles-womens-correctional-center-dc-3/
Caldwell Correctional Center Transitional Work Program,(318) 649-5600,https://doc.la.gov/location/caldwell-correctional-center-transitional-work-program/
Catahoula Correctional Center (LMG),(318) 744-2121,https://doc.la.gov/location/catahoula-correctional-center-lmg/
Claiborne Detention Center Transitional  Work Program (LMG),(318) 927-4201,https://doc.la.gov/location/claiborne-detention-center-transitional-work-program-lmg/
Concordia Parish Transitional Work Program,(318) 757-1865,https://doc.la.gov/location/concordia-parish-transitional-work-program/
Concordia Parish Transitional Work Program (Females),(318) 336-2881,https://doc.la.gov/location/concordia-parish-transitional-work-program-females/
E. Baton Rouge Parish Transitional Work Program (LAWF),(225) 248-6583,https://doc.la.gov/location/e-baton-rouge-parish-transitional-work-program-lawf/
East Feliciana Parish Transitional Work Program,(225) 683-5459,https://doc.la.gov/location/east-feliciana-parish-transitional-work-program/
Franklin Parish Detention Center,(318) 435-8229,https://doc.la.gov/location/franklin-parish-detention-center/
Lafourche Transitional Work Program*,(985) 537-9650,https://doc.la.gov/location/lafourche-transitional-work-program/
Lincoln Parish Detention Center,(318) 255-4440,https://doc.la.gov/location/lincoln-parish-detention-center/
Madison Bayou Correctional Center Transitional Work Program,(318) 574-0584,https://doc.la.gov/location/madison-bayou-correctional-center-transitional-work-program/
Madison – Louisiana Transitional Center for Women Transitional Work Program,(318) 574-5740,https://doc.la.gov/location/madison-ltcw-transitional-work-program-females/
Madison Parish Detention Center (LMG),(318) 574-0584,https://doc.la.gov/location/madison-parish-detention-center-lmg/
Morehouse Parish Detention Center,(318) 874-7855,https://doc.la.gov/location/morehouse-parish-detention-center/
Orleans Transitional Work Program (Warren McDaniel Transitional Work Program),(504) 249-7264,https://doc.la.gov/location/orleans-transitional-work-program-warren-mcdaniel-transitional-work-program/
Ouachita Parish Transitional Work Program (Females),(318) 324-2792,https://doc.la.gov/location/ouachita-parish-transitional-work-program-females/
Ouachita Parish Transitional Work Program (Males),(318) 410-2400,https://doc.la.gov/location/ouachita-parish-transitional-work-program-males/
Plaquemines Parish Transitional Work Program,(504) 934-6788,https://doc.la.gov/location/plaquemines-parish-transitional-work-program/
Rapides Parish Transitional Work Program*,(318) 449-4380,https://doc.la.gov/location/rapides-parish-transitional-work-program/
Richland Parish Detention Center (Males),(318) 248-3070,https://doc.la.gov/location/richland-parish-detention-center-males/
Southwest Workforce Development Transitional Work Program,(337) 786-3009 & (337) 786-3008,https://doc.la.gov/location/southwest-workforce-development-transitional-work-program/
St. Mary Law Enforcement Center Transitional Work Program,(337) 836-5520,https://doc.la.gov/location/st-mary-law-enforcement-center-transitional-work-program/
Tangipahoa Parish Jail,(985) 748-3392,https://doc.la.gov/location/tangipahoa-parish-jail/
Tensas Parish Detention Center Transitional Work Program,(318) 749-5810,https://doc.la.gov/location/tensas-parish-detention-center-transitional-work-program/
Terrebonne Transitional Work Program (LAWF),(985) 917-5254,https://doc.la.gov/location/terrebonne-transitional-work-program-lawf/
Union Parish Detention Center Transitional Work Program,(318) 368-9827,https://doc.la.gov/location/union-parish-detention-center-transitional-work-program/
W. Baton Rouge Parish Transitional Work Program*,(225) 387-3272,https://doc.la.gov/location/w-baton-rouge-parish-transitional-work-program/
Webster – Bayou Dorcheat Correctional Center Transitional Work Program,(318) 371-3554,https://doc.la.gov/location/webster-bayou-dorcheat-correctional-center-transitional-work-program/
West Feliciana Parish Transitional Work Program (LAWF)*,(225) 635-3807,https://doc.la.gov/location/west-feliciana-parish-transitional-work-program-lawf/
