OPERATOR,ATYPE,INCIDENT_DATE,STATE,AIRPORT,PHASE_OF_FLT,HEIGHT,SPEED,SPECIES,BIRDS_STRUCK,EFFECT,DAMAGE,COST_REPAIRS,PERSON,REMAINS_COLLECTED,REMARKS
MESA AIRLINES,CRJ900,05/21/15 00:00:00,TX,DALLAS/FORT WORTH INTL ARPT,LANDING ROLL,0,,Unknown bird,1,NONE,N,,Tower,0,ASH5787 CRJ9 LANDED RWY 35R AND REPORTED HITTING BIRDS. ASH5787 TAXIED TO GATE HOLDING ON THE WEST SIDE OF THE AIRPORT WITH NO ASSISTANCE REQUIRED.
DELTA AIR LINES,MD-90-30,05/21/15 00:00:00,GA,HARTSFIELD - JACKSON ATLANTA INTL ARPT,,,,Unknown bird,1,NONE,N,,Tower,0,"DAL1572, MD90, TPA-ATL, RWY 28. BIRD STRIKE. NO DAMAGE TO AIRCRAFT."
ISLAND AIR,AT-72,05/21/15 00:00:00,HI,HONOLULU INTL ARPT,DEPARTURE,,,Unknown bird - small,1,NONE,N,,Tower,0,"MKU232 departed RWY 8L full length and while rotating around the 3,000' mark, 20' above the RWY reported hitting a small black bird on the left side of the windshield. Capt Diana Feddersomhn reported that there were no visible damages upon inspecting the "
BUSINESS,DA-900,05/20/15 00:00:00,OK,RICHARD LLOYD JONES JR ARPT,DEPARTURE,,,Unknown bird,1,NONE,N,,Tower,0,N1828S REPORTED A BIRD STRIKE TWO MILES NORTH OF THE FIELD WHILE ON DEPARTURE.  N1828S DECIDED TO CONTINUE ON HIS FLIGHT PLAN.
JETBLUE AIRWAYS,EMB-190,05/22/15 00:00:00,NY,WESTCHESTER COUNTY ARPT,APPROACH,,,Unknown bird,1,NONE,N,,Tower,0,JBU914 REPORTED BIRD STRIKE ON FINAL. NO DAMAGE REPORTED.
AMERICAN AIRLINES,MD-80,05/22/15 00:00:00,TX,DALLAS/FORT WORTH INTL ARPT,LANDING ROLL,0,,Unknown bird,1,NONE,N,,Tower,0,"AAL1146, MD80, REPORTED UPON EXITING RWY 17C THAT THEY EXPERIENCED A BIRD STRIKE ON LANDING ROLL RWY 17C.  PILOT WAS ADVISED TO CONTACT THE TOWER IF ANY DAMAGE TO THE AIRCRAFT WAS OBSERVED."
HORIZON AIR,DHC8 DASH 8,05/22/15 00:00:00,OR,MAHLON SWEET FLD,LANDING ROLL,0,,Unknown bird,1,NONE,N,,Tower,0,QXE295 REPORTED STRIKING A BIRD AFTER LANDING APPROXIMATELY 1500-1800 FEET DOWN THE RUNWAY. VISUAL INSPECTION OF THE AIRCRAFT WAS CONDUCTED BY FLIGHT CREW. NO DAMAGE REPORTED.
JETBLUE AIRWAYS,A-310,05/21/15 00:00:00,CA,LONG BEACH-DAUGH FLD,LANDING ROLL,0,,Unknown bird,1,NONE,N,,Tower,0,"AFTER LANDING ROLL OUT JBU531 EXITED TWY K AND INFORMED GROUND THAT THEY HAD POSSIBLY STRUCK A FEW BIRDS JUST BEYOND THE TOUCHDOWN POINT, POSSIBLY AROUND THE 1500 FOOT MARK. LGBAA NOTIFIED. PILOT REPORTS NO DAMAGE TO AIRCRAFT. "
PIEDMONT AIRLINES,DHC8 DASH 8,05/23/15 00:00:00,NC,COASTAL CAROLINA REGIONAL ARPT,LANDING ROLL,0,,Unknown bird,1,NONE,N,,Tower,0,PDT4897 REPORTED A BIRD STRIKE WHICH OCCURED WHEN THE AIRCRAFT LANDED INITIALLY AT 1430. THE TIME HE REPORTED THIS TO ME WAS AT 1605 WHEN HE DEPARTED BACK TO CLT. WHEN ASKED WHERE HIS POSITION WAS WHEN IT OCCURED HE STATED THAT HE THOUGHT IT WAS ON RUNWAY
AMERICAN AIRLINES,A-321,05/22/15 00:00:00,PA,PITTSBURGH INTL ARPT,APPROACH,6000,,Unknown bird,1,NONE,N,,Tower,0,AAL1793 A321 INBOUND TO PIT DECLARED A BIRDSTRIKE AT 6000 FEET. THE PILOT WAS ASKED TO CALL THE TRACON AND HE COMPLIED.  THE PILOT STATED THAT THE BIRD STRUCK THE CAPTIAN'S SIDE WINDOW.  THE PILOT HAD NO DAMAGE TO REPORT BUT STATED THAT HE DID NOT EXCUTE 
SOUTHWEST AIRLINES,B-737,05/23/15 00:00:00,MD,BALTIMORE/WASH INTL THURGOOD MARSHAL ARPT,APPROACH,1000,,Unknown bird,1,NONE,N,,Tower,0,"SWA1844 INBOUND TO BWI RWY10 REPORTED STRIKING A BIRD, ON THE WINDSHIELD AT 1000' ON FINAL. PILOT REPORTED NO DAMAGE TO AIRCRAFT."
BUSINESS,CRJ100/200,05/25/15 00:00:00,TN,TRI-CITIES REGIONAL TN/VA ARPT,DEPARTURE,,,Unknown bird,1,NONE,N,,Tower,0,JIA5183 REPORTED A BIRD STRIKE AS IT DEPARTED. THE PILOT SAID IT HAPPENED AT ROTATION. THE BIRD HIT ON THE NOSE OF THE AIRCRAFT JUST BELOW THE PILOTS WINDOW. PILOT REPORTED NO DAMAGE.
UPS AIRLINES,C-182 SKYLAN,05/25/15 00:00:00,CO,CITY OF COLORADO SPRINGS MUNI APRT,APPROACH,,,Unknown bird,1,NONE,N,,Tower,0,N5CF (VFR)REPORTED A BIRDSTRIKE TO HIS WINDSHIELD ON A 1/4M FINAL RUNWAY 17R.  N5CF DID NOT DECLARE AN EMERGENCY AND REPORTED NO DAMAGE TO THE AIRCRAFT. 
UPS AIRLINES,B-767-300,05/26/15 00:00:00,,UNKNOWN,En Route,,,Unknown bird,1,NONE,N,,Tower,0,"UPS950, H/767, BIRD STRIKE OVER PARBB. NO INJURIES. AIRCRAFT LANDED WITHOUT INCIDENT."
DELTA AIR LINES,CRJ100/200,05/26/15 00:00:00,IA,DES MOINES INTL,APPROACH,,,Unknown bird - small,1,NONE,N,,Tower,0,"STRUCK SMALL BLACK SPARROW UPON LANDING. CAPTAIN'S SIDE WINDSCREEN, NO DAMAGE, US REGISTRY: N8877A, POWERPLANT CR34-3B1"
BUSINESS,MD-88,05/24/15 00:00:00,AR,NW ARKANSAS REGIONAL,APPROACH,,,Unknown bird,1,NONE,N,,Tower,0,"DAL 2608 LANDED SAFELY AND REPORTED HE DEFINATELY HIT A BIRD RIGHT BEFORE TOUCHDOWN. NO DAMAGE TO REPORT, SAID HE WOULD HAVE MAINT. TAKE A LOOK."
ENDEAVOR AIR,GULFAERO IV,05/26/15 00:00:00,NC,RALEIGH-DURHAM INTL,APPROACH,1000,,Unknown bird,1,NONE,N,,Tower,0,"WHILE ON SHORT FINAL AT 1000, JPB710 TOOK A BIRDSTRIKE TO THE FUSELAGE JUST ABOVE THE WINDSHIELD. THE PILOT REPORTED A SINGLE BLACKBIRD STRIKING THE AIRCRAFT. SUBSEQUENTLY , THE PILOT REPORTED NO DAMAGE TO THE AIRCRAFT OR NO INJURIES. THE AIRCRAFT LANDED "
BUSINESS,CRJ900,05/26/15 00:00:00,IA,DES MOINES INTL,Climb,,,Unknown bird - small,1,NONE,N,,Tower,0,"FLG4017, CRJ9, UPON ROTATION, HIT ONE SMALL BIRD ON WINDSCREEN. NO DAMAGE."
PSA AIRLINES,CRJ700,05/26/15 00:00:00,MI,WILLOW RUN ARPT,APPROACH,3000,,Unknown bird - large,1,NONE,N,,Tower,0,"CTL1 reported hitting a ""very large bird"" approximately 6NE of the field just below 3000ft on final for YIP.
Pilot estimated time of strike as 2308 Local 5/26/2015. Strike was not reported to ATC until 0410Z 5/27/2015.
No assistance was required by pilot."
DELTA AIR LINES,CRJ100/200,05/28/15 00:00:00,IL,CHICAGO O'HARE INTL ARPT,,,,Unknown bird,1,NONE,N,,Tower,0,This was not an emergency. Pilot advised bird strike at FL180. No damage or injuries. Pilot did not know what type of bird.
BUSINESS,EMB-145,05/28/15 00:00:00,MA,GENERAL EDWARD LAWRENCE LOGAN INTL ARPT,Landing Roll,0,,Unknown bird,1,NONE,N,,Tower,0,"BIRD STRIKE LANDING RY22L, DAL3287, E145, N370SK, EVIDENCE OF BIRD DEBRIS IN NOSE GEAR, NO DAMAGE REPORTED. NOTIFIED BY MASSPORT. "
